,Article Index,Part,Percentage
4387,99100,Reuters - Minnesota Vikings wide receiver Randy Moss is listed as doubtful for Sunday's,60
2560,60973,"Prince Norodom Sihamoni, 51, a dancer",20
717,17752,"Astronomers have discovered the three lightest planets known outside the solar system, moving researchers closer",60
2270,36205,The crash of a PeopleSoft Inc.,20
1379,55507,"Sunday 39;s Japanese GP looks set to go ahead as planned after the feared typhoon largely bypassed Suzuka on Saturday. With fears of torrential rain and 110mph winds, qualifying for the race was postponed for 24 hours.",100
1861,33669,Reuters - The United Nations on Monday added 14 pesticides and,40
1777,36844,Consumer electronics giant Sony Corp. said on Thursday it is mulling a major strategic shift,60
4658,26918,"IBM (Quote, Chart) is donating software for speech-enabled applications to the open source community, a move supported by more than 20 speech vendors and platform companies,",80
418,109572,"ID Biomedical of Vancouver, Canada 39;s main supplier of flu vaccines, said Tuesday it will not sell 1.2 million doses of",80
1728,49567,"An Iraqi man who has lived in Italy since 1980 has been killed by abductors in Iraq, his brother said Monday. Ayad Anwar Wali, a 43-year-old",80
1396,106688,AP - Iraq's national air carrier began flying direct routes to Saudi Arabia on,40
1029,46760,"Bangkok, Thailand (Sports Network) - The world 39;s top players -- Roger Federer and Andy Roddick -- highlighted Friday 39;s quarterfinal winners at the  $550,000 Thailand Open.",100
1963,25958,Component problems meant Brillian's new big screens missed the,80
2473,94804,"OAKLAND, Calif. -- What little optimism there was before the start of the season has all but faded, and it appears the only record-setting performances by the Bulls",80
2276,103833,DAVID BECKHAM and Michael Owen were on target as Real Madrid went goal,40
1178,61301,AP - Logan Powell scored with 13 seconds remaining in the second overtime Sunday to lift UCLA to the NCAA championship,80
1686,12453,AP - Julian Tavarez's baseball cap is dirty,40
2866,106469,I don 39;t get to the office all that often these days -- the beauty of this job is you,40
2992,32002,VIENNA - The UN atomic watchdog agency demanded Iran suspend all uranium enrichment,60
4928,99791,Reuters - A suicide truck bomb attack on an Iraqi security checkpoint near an entrance to the fortified Green Zone complex on Tuesday killed at least six people,80
4057,48461,AP - National security adviser Condoleezza Rice on Sunday defended her characterization of Saddam Hussein's nuclear capabilities in the months before the,60
4307,117470,"The developer that built Dulles Town Center in 1999 is planning to build a 300,000-square-foot",60
1727,49567,"An Iraqi man who has lived in Italy since 1980 has been killed by abductors in Iraq, his brother",60
2145,25629,US forces,20
4635,81293,University of Maryland basketball player,20
2794,13463,"Zhang Yuehong 39;s winner spike capped China 39;s brilliant comeback in the women 39;s volleyball final on Saturday, winning the country 39;s first Olympic volleyball gold medal in 20 years.",100
3681,57250,The coaches can defend Mark Brunell and the offense all,40
1342,109748,"WASHINGTON -- In a case that could yield a bonanza for Washington state 39;s expanding wine industry, the Supreme Court yesterday was",60
3670,33838,Reuters - Pittsburgh Steelers starting,20
2173,85122,"International Business Machines Corp. has assembled the world 39;s most powerful computer, unseating Japan 39;s NEC Corp. after more than two",80
989,76583,"Shanghai Automotive Industry Corp (SAIC), one of China 39;s biggest vehicle producers, clinched a much-heralded final deal with creditors of Ssangyong Motors yesterday to take over the No 4 South Korean automaking firm.",100
199,105309," KIEV, Ukraine (Reuters) - Ukrainian opposition protesters  rushed to parliament and massed at its main door Tuesday after  the assembly failed to take any decision over a disputed  presidential election the opposition says was rigged.",100
3035,36702,Opponents of importing prescription drugs from Canada,20
3678,27762,"SAN FRANCISCO (Reuters) - Oracle Corp. ;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ORCL.O target=/stocks/quickinfo/fullquote"";ORCL.O;/A; on Tuesday reported a 16 percent rise in quarterly profit fueled by steady demand for its flagship database software, but executives warned that",80
3609,72634,"Hockey East is in its last season as a six-team league, with Boston University scheduled to field its first varsity team next season and Vermont moving over from the ECAC. The league also gets its first automatic bid to the newly expanded eight-team NCAA Tournament.",100
4376,113081,The airline has requested use of the gates in,40
3948,77493,Residential energy use in the United States is predicted to increase 25 percent by 2025. A small but increasing share of that power will trickle,80
1904,55759,"Houston, TX (Sports Network) - Morgan Ensberg went 2-for-4 and drove in three runs to lead Houston over Atlanta 8-5 in Game 3 of their National League Division Series at Minute Maid Park.",100
3074,85816,;p; ;/p;;p; AMSTERDAM (Reuters) - A new computer worm emerged on Tuesday which broke the speed record from the announcement of a security vulnerability in Microsoft's Internet Explorer to a full-blown virus that spreads in the wild.;/p;,100
346,76586,Militants piled more pressure on Washington 39;s military allies in,40
3870,53431,The CEATEC exhibit,20
1912,109082,"Computer-security experts, including former government officials, urged the Bush administration on Tuesday to devote more effort to strengthening defenses",60
1210,90064,Soaring childhood,20
4209,78872,Losses by Florida State and Miami leave Virginia Tech and Virginia in position to control their own destiny as they chase conference football title.,100
4256,116284,French prosecutors investigating the manslaughter of the 113 people killed in,40
1643,41721,Reuters - Tokyo's Nikkei average fell 0.9 percent by mid-morning on Tuesday and was on course for an eighth day of losses as a broad range of stocks wilted after oil prices spiked to,80
3546,4389,Reuters - The U.S. military pounded positions held by radical clerical Moqtada al-Sadr's,40
4640,55537,AP - David Beckham broke,20
2335,116515,MILAN (Reuters) - The heads of Fiat SpA,20
4313,19726,China beefed up its ongoing crackdown on internet porn on Monday with new rules published that allow courts to issue life sentences to,80
4564,77427,"a mark on the court. The point was replayed, and Llodra wound up holding serve. play dropped. Llodra broke him at love in the fourth game and then held for.",100
228,11840,"Explosive of a kind used by Chechen rebels has been found in one of two airliners that crashed simultaneously, Russian investigators said, making it look ever likelier",80
4592,68749,"TORONTO - Ford Motor Co. is reported to be on the verge of announcing a $1-billion investment at its plant in Oakville, Ont. The",60
2498,95758,"CHICAGO (Reuters) - Motorola Inc. ;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=MOT.N qtype=sym infotype=info qcat=news"";MOT.N;/A; said it will unveil plans this week for a line of outerwear that uses interactive cell phone and portable music technology in",80
4383,44296,The anguish of a British hostage in Iraq hangs over Prime Minister Tony Blair on Thursday as he faces the twin test of a local election and a debate,80
3167,106870,TOKYO (Reuters) - The dollar sank to a record low against the euro on Thursday and stood near a 12-year low versus the pound,60
3110,77883,The US economy picked up speed in,20
3909,111670,"Reuters - Shares of PeopleSoft Inc.  traded near a one-year high on Thursday after analysts raised their earnings outlooks for the business software maker, which continues to fight a  36;9.2 billion hostile takeover bid by Oracle Corp. .",100
2435,72671,"Heading into the World Series, I didn",20
1392,76131,AFP - Several people were injured in a quot;big quot; explosion at the Marriott hotel,60
3228,68807,"French international midfielder Jerome Rothen, forced out of Paris St Germain 39;s 2-0 victory over Porto in the Champions League on Wednesday, will be out for two months with",80
1768,89088,"MILLIYET- Following Palestinian President Yasser Arafats death, the transition period is moving calmly, at least for now. There were concerns that a",80
4524,7250,The Italian will be pushing 100 for himself and the team at this weekend's Belgian Grand Prix in Spa Francorchamps.,100
2050,95028,WASHINGTON - Hugely popular,20
1250,102809,Bryan Randall throws for two,20
1418,88523,Former Liverpool star John Toshack is tipped to become the new Wales coach when the Football Association of Wales,80
3607,72634,"Hockey East is in its last season as a six-team league, with Boston University scheduled to field its first varsity team next season and Vermont moving over",60
1416,88523,Former Liverpool star John Toshack is tipped to become,40
230,11245,US elite triathlete Susan Williams became a media,20
2916,55604,NEW YORK - United States stocks fell on Friday after a government report,40
1903,55759,"Houston, TX (Sports Network) - Morgan Ensberg went 2-for-4 and drove in three runs to lead Houston over Atlanta 8-5 in Game 3 of their National",80
836,56505,"According to the polls, the presidential election is now a toss-up.",40
1609,20961,"MIAMI (Ticker) - Miami Dolphins fullback Rob Konrad underwent surgery to remove a bursal infection in his right thigh, the team announced on Tuesday.",100
2431,92642,WASHINGTON Congress would find a quot;Pandora 39;s box quot;,40
4733,59007,By Reuters. The Gannett Company yesterday reported an 11 percent jump in quarterly net profit on advertising sales gains at,80
1338,2325,SECURITY EXPERTS MessageLabs say that there is evidence that virus writers are working hand,80
4696,1040,Microsoft Corp. has published a list of nearly 50 applications,40
573,38044,"When Orioles shortstop Miguel Tejada smacked Derek Lowe's 2-and-2 delivery over the left-field wall in the fifth inning last night for a three-run home run, Lowe stared at the ground and nodded. Up to that point, he had staged a battle with Orioles hitters that went back-and-forth",80
3015,103000,AP - Shay Doron and Crystal,20
4884,107088,Alex Ferguson has urged the FA to punish Arsenal 39;s Robin van Persie for throwing an elbow during last night 39;s Carling Cup quarter-final.,100
923,119145,Talks on the political future of Ivory Coast are continuing in Pretoria today with President Thabo Mbeki expected to join,80
1027,46760,"Bangkok, Thailand (Sports Network) - The world 39;s top players -- Roger Federer and Andy Roddick",60
459,24969,"(Article Central) Microsoft has doubled the time that businesses can block Windows XP Service Pack 2 from downloading automatically, giving them until next April to test the update.",100
698,105138,"UK News, LONDON - The dollar won a reprieve against other major currencies on Tuesday, bouncing off last week 39;s record low versus the euro as markets grew cautious ahead of words",80
2322,25191,"AFP - Fifty days out from the US presidential election, the rhetoric is becoming nastier between George W. Bush",60
616,35905,_ Former star investment banker Frank Quattrone asked a federal appeals,40
224,112587,"(December 10, 2004) - Delphi Corp. said Friday it plans to cut 8,500 jobs -r 4.6 percent of its total work force  -ldwide next year as part of an ongoing restructuring.",100
506,96432,The source of intelligence used this week by US Secretary of State Colin,40
1887,62736,"MOSCOW (Reuters) - Anastasia Myskina trounced Elena Dementieva, 7-5, 6-0, in the Kremlin Cup final Sunday to retain her",60
958,18662,AP - Kay-Jay Harris rushed for a school-record 337 yards and four touchdowns to lead No. 10 West Virginia to a 56-23 victory,80
4902,109310,"International Olympic Committee (IOC) president Jacques Rogge announced December 7, 2004 he had set up a disciplinary commission to",60
2082,48517,"Separatists are suspected of bombing a crowded market, a tea plantation and other sites yesterday, killing seven",60
4978,32145,Candie Kung and Lorie Kane overcame the wind and the rain -- and a rally by Annika Sorenstam -- to,80
4417,83093,The decision by the Football Association not to throw the book at Rio Ferdinand when the Manchester United defender failed to,60
439,98008,"Hajime Meshiai, an 11-time winner on the Japanese PGA Tour, shot 69 Sunday to retain a share of the lead after five rounds of the Champions Tour national qualifying tournament.",100
4805,65262,A former general with a doctorate,20
1722,3225,"As Australians watch their country 39;s flag being raised yet again in Athens, it can be imagined that no one is more",60
2268,54712,"AFP - The British-built Canadian submarine HMCS Chicoutimi, crippled since a fire at sea that killed one of its crew, was under tow, headed for Scotland where it",80
909,26818,Goalkeeper Jens Lehmann has revealed he didn 39;t expect to be dropped on Saturday by Arsenal manager Arsene Wenger.  quot;Arsene said I did not look the freshest to him.,100
3740,96025,Buoyed by the strong performance,20
1794,44021, LONDON (Reuters) - Oil prices slid from record highs above   $50 a barrel Wednesday as the U.S. government reported a  surprise increase in crude stocks and rebels in Nigeria's  oil-rich delta region agreed to a preliminary cease-fire.,100
796,38556,AP - Online sales of illegal ivory are,40
465,91833,With Oracle 39;s (ORCL:Nasdaq - news -,20
4988,25586,"AstraZeneca shares have fallen more than 6 percent after a US medical panel recommended regulators reject its anti-clotting pill Exanta, a key product",80
4455,116675,NEW YORK (Reuters) - Best Buy Co.,20
1831,113186,MOSCOW - Nikolai Zherdev and Alexander Perezhogin scored 18 seconds apart,40
2828,21398,"Newly updated. This article provides insight into the Metasploit Framework, a very useful tool for the penetration",80
3652,48026,Some US computer users vastly under-estimate the dangers,60
450,78131,When Jeffrey W Greenberg took the,20
268,107563,NEW YORK (Reuters) - The Curse of the Bambino may have ended this year but Babe Ruth proved to have plenty of clout at the auction table as the bat he used to hit the first,80
3243,98749,"Ziff Davis - With a relatively hostile environment that has pitted proprietary software against open source as a backdrop, the Free Software Foundation, the steward of the GNU General Public License, is working on",80
3959,79215,The headline-grabbing rivalry between Shaquille O 39;Neal and Kobe Bryant is likely to dominate the opening weeks of the NBA season that begins on Tuesday.,100
1567,109983,"Iraq is prepared to cooperate with Russia and to sign contracts, Iraqi Prime Minister Iyad Allawi said in an exclusive interview",60
1267,51879,"SAN FRANCISCO (CBS.MW) -- UAL Corp., parent of United Airlines, said Wednesday it will overhaul",60
2683,104704,"The dollar firmed slightly against the euro on Monday, recovering from last week 39;s record low and a 4-1/2-year trough against the yen as traders turned their sights",80
3105,116273,"Thousands of families, friends, fans and",20
4882,107088,Alex Ferguson has urged the FA to punish Arsenal 39;s Robin van Persie for,60
774,68997,"Earlier this year, Intel delayed its chip for large screen televisions. Now the Santa Clara, Calif.-based company is killing it. Intel has stopped work on its liquid crystal on silicon semiconductor, stating ",100
4393,55873,"It's a relatively recent story, and a familiar one. The Red Sox had two big sluggers in the middle of their lineup -- one a lefthanded hitter, the other a righty, both .300 hitters, one a former MVP, one who would soon be named one. They were the",80
4052,58312,U.S. News World Report - The baseball metaphor seems most apt. George W. Bush and John Kerry are like two weary but evenly matched teams heading into the ninth inning of the World Series,60
413,47837,"NEGOTIATIONS for the release of Iraq hostage Kenneth Bigley are to begin between his captors and militants acting as intermediaries,",80
3225,68807,"French international midfielder Jerome Rothen, forced out",20
2332,29246,"ISLAMABAD, Sept 15: Opposition parties on Wednesday reacted strongly to the statement of Information Minister Sheikh",60
860,115580,Iraq's interim Prime,20
107,45753,"Faced with mountains of inventory, quick thinking by some semiconductor manufacturers helped the market avoid its",60
1406,50462,Like most of the relievers the Giants have signed,40
2611,63073,"Hammered by iPod, Sony will retool, adding native MP3 support to some digital",40
1436,33559,"NEW YORK - Higher oil prices and lowered outlooks from companies including Colgate-Palmolive Co.,",40
1123,105050,"House prices across the UK will come to a virtual standstill in 2005, the Nationwide Building Society predicted today. The lender said that property prices in Britain look set to rise by just 2 across the",80
118,110821,"UNITED NATIONS - Secretary General Kofi Annan received a standing ovation Wednesday from diplomats representing the 191 UN member states, a rare public display of support for the beleaguered UN",80
3672,33838,Reuters - Pittsburgh Steelers starting quarterback Tommy Maddox will be sidelined at least six weeks after,60
1151,81880,AP - A 36;100 million supercomputer being built to analyze the,40
1906,92210,Federal drug regulators strengthened the warning label on,40
3933,20291,Back-to-back drubbings at the hands of the Fever have plunged the Mystics into the Eastern Conference's cellar and,80
3710,61846,Update fixes,20
4957,38753,"The Motley Fool - No, the U.S. is not on the verge of a solar revolution, and sunshine won't provide the country with ""energy independence"" anytime soon.",60
3319,43539,The scientists behind Dolly the sheep apply for a license to clone human embryos. They want to take stem cells from the embryos to study Lou Gehrig's disease.,100
1264,72253,"LAKE FOREST, Ill. (Oct. 25, 2004) -- The Chicago Bears will not sign Tim Couch, instead deciding to stick with the three quarterbacks on their roster.",100
3473,83738,"Boston College's 21-10 victory over Rutgers yesterday was the Eagles' sixth win, making them eligible for a bowl bid. It may even have put them in prime position for a New Year's Day game, even if",80
5,65673,JOSE MOURINHO stormed out,20
936,41422,Schools are spending a fortune on technology in,40
329,103438,King Abdullah of Jordan has stripped his half-brother and heir apparent of his title as crown prince on Sunday. King Abdullah announced at the state television on Sunday that the move was aimed at allowing ,100
1884,29136,"The Champions Trophy, despite still being at the pool stage, reaches its knockout phase when world champions Australia meet New Zealand at the Oval on Thursday.",100
2026,69899,AP - Sylvester Croom's first big win for Mississippi State sent Florida to a new low,40
3817,95382,"NEW YORK, Nov. 18. - Defending World Cup football champions Brazil suffered the most shocking",60
1017,14209,"The Iraqi deputy prime minister arrived Sunday in the Tehran, Iran, a day later than planned, the BBC",60
2520,80579,The Italians lost their 100 per,20
4171,42551,PC World - Slim,40
1598,70026,"Reuters - Aftershocks kept striking northern Japan on Sunday, hours after a powerful earthquake killed at least 16 people, collapsing houses and triggering",80
3855,116308,BAGHDAD (Reuters) - Iraq will put some,20
2347,60252,"By VLADIMIR ISACHENKOV BAIKONUR, Kazakhstan (AP) -- A rocket carrying two Russian cosmonauts and an American astronaut to the international space station streaked into orbit",60
517,22520,"Before there was Home Depot for shovels and mulch, before there was JoAnn",60
4845,81602,"The United States embassy in Damascus,",20
1523,17959,"UNITED NATIONS -- Despite peace deals, Sudan's Darfur region is lapsing into chaos, with rebels attacking police and the government ignoring brutal tribesmen they once",80
1528,118384,"The staff of the Securities and Exchange Commission has ordered Fannie Mae, the nation 39;s largest buyer of mortgages, to restate its earnings",80
4480,9309,The biggest takeover battle in Japanese,20
206,62614,The baseball community expressed concern for the sport after The Chronicle reported that Barry Bonds,40
1874,15157,McAfee's VirusScan Enterprise 8.0i integrates intrusion-prevention services and firewall technology with antivirus software to automatically protect PCs and file servers from new malicious code outbreaks.,100
3075,28825,NEW YORK - Stocks sagged Wednesday,20
3274,71174,"Notre Dame knew what it needed to do but couldn 39;t get it done for the fourth year in a row against Boston College.  quot;We knew we had to come out in the second half and play our best football, quot; Irish coach Tyrone ",100
2252,57083,The European Union on Monday ended 11 years of sanctions against Libya and eased an arms embargo to reward,60
2745,20416,Reuters - The U.S. Army plans within months to break,20
1815,16822,Relatives of the hostages seized,20
1920,4170,Canadian Press - OTTAWA (CP) - The,20
1148,38403,"The Palestinian groups yesterday carried out a joint operation at a military position near Mouraj settlement to the north of Rafah to the south of Gaza that resulted in killing three Israeli soldiers, one",80
4132,47688,"Baseball fans across Japan Saturday honored Ichiro Suzuki, the Seattle Mariners 39; Japanese player who",60
4521,7250,The Italian will be pushing 100 for himself,40
1299,29655,VIENNA : The United States presented key EU states with a softened version of an ultimatum over Iran 39;s alleged nuclear weapons program but diplomats said the text was still too strong to win approval at the UN atomic agency 39;s meeting in Vienna.,100
4648,38373,"US Olympic cyclist Tyler Hamilton owes someone in an Athens, Greece, laboratory a huge thank you. Hamilton, who was under suspicion by the International Olympic Committee",80
2579,73555,"SPACE.com - Newly discovered galactic highways cut across the Milky Way at odd angles, bringing stars through the neighborhood of our solar system.",100
2728,43904,"update MOJAVE, Calif.--A venture backed by Microsoft co-founder Paul Allen got a jump Wednesday on rivals eyeing a $10 million prize for the first",80
2775,47621,Stocks rose sharply on Friday in,20
4533,97406,"AP - Insurgents battled American troops in the streets of Baghdad on Saturday, killing a U.S. soldier in an ambush and gunning down four government employees in signals that the guerrillas remain a potent force despite the fall of their stronghold of",80
3426,96775,"AP - In the shadow of Bill Clinton and his gleaming new presidential library,",40
223,112587,"(December 10, 2004) - Delphi Corp. said Friday it plans to cut 8,500 jobs -r 4.6 percent of its total work force -ldwide next",80
1272,119033,TOKYO -- Cisco Systems will open a Tokyo-based research and development center focusing on Internet software and routing,60
1322,44371,InfoWorld - Gateway plans to overhaul its consumer PC lineup Thursday with new configurable models that will,60
4860,84123,Twins Bob and Mike Bryan of,20
4195,53900,AP - For the first time,20
4797,119566,"JONKOPING, Sweden (CP) - The Worldstars had no intention of being blown out of the rink two games in a row in Sweden.",60
3346,75909,Newcastle scientists urge the EU to ban,40
2821,3241,Oracle Corp. on Monday introduced a standalone business intelligence product,40
4753,54792,"IHURURU, Kenya - When Wangari Maathai got word she had won the 2004 Nobel Peace Prize on Friday, she was campaigning to protect Kenya's forests and distributing food to villagers suffering from drought - the same work she's been doing for decades. Maathai was in the countryside - just one hill away from her childhood home - when told she had won the",80
2243,47844,"Kyle Orton found a way to win at Notre Dame, ending a 30-year drought for Purdue. Orton threw four touchdown passes, including a 97-yarder to Taylor Stubblefield, and",80
159,25296,"Democracy candidates picked up at least one more seat in parliament, according to exit polls.",100
4048,73990,Tim Henman will begin his bid to win the Davidoff Swiss Indoors for the third time when he takes on Antony,80
3667,114230,Chip-making technique to fuel,60
4159,60403,"Growth at Nokia Corp. 39;s (NYSE: NOK - message board) Networks division continues to keep company net sales afloat, with the Finnish vendor today predicting healthy times ahead for the cellular infrastructure market.",100
637,46677,"By ALLISON LINN SEATTLE (AP) -- In a preliminary ruling, the government rejected Microsoft Corp. (MSFT)'s",60
4216,64201,By James Daley in London and Katherine Griffiths in New York. The UK regulator,40
3973,39337,UNITED NATIONS (BBC) -- The leader of the UN team organizing Iraq 39;s elections has criticized the US defense secretary for suggesting only,80
2284,104165,"For some 30 years, companies have envisioned arming executives with sets of diverse tools to easily define business objectives and view their ongoing progress. Companies pursuing this vision, now commonly known as BPM, can cobble together homemade solutions or lean on a single vendor, such as Hyperion, which has strengthened a key building block of its overall BPM solution.",100
203,46205,"Pharmaceutical titan Merck amp; Co. Inc. yesterday pulled its blockbuster arthritis drug Vioxx off the market, citing safety concerns, thereby triggering a massive selloff in the company 39;s shares that wiped out",80
3097,106862,Ohio State matched the record for the most lopsided victory in the women 39;s,60
77,60469,Israeli air strikes killed five Palestinians in Gaza Thursday as the Palestinian death toll rose to 100 in,60
2191,65810,Ads in video games are becoming,40
4746,10084,"British scientists say they have found a new, greener way",40
2488,584,"HAVEN, Wis. - Whistling Straits is suddenly the least",80
3838,82944,"a second day, fuelling fears of a slide into all-out war in the world 39;s top cocoa grower. A UN spokesman said on Friday 18 people, including two",80
4295,47194,New Zealand Reserve Bank Governor Alan,20
1374,55246,"Diversified manufacturer and financial services company General Electric Co. posted third-quarter earnings in line with Wall Street expectations on Friday, as revenue rose 15 percent on higher industrial sales ",100
3439,25202,"During its bi-annual Developers Forum in San Francisco this week, the chipmaker focused on promoting its next-generation Itanium and Xeon processors.",100
1385,119858,Developer Donald J. Chiofaro will,20
4208,78872,Losses by Florida State and Miami leave Virginia Tech and Virginia in position to control their own destiny as,80
4971,6726,"After years of sacrificing, athletes don 39;t come to the Olympics to",40
4532,97406,"AP - Insurgents battled American troops in the streets of Baghdad on Saturday, killing a U.S. soldier in an ambush and gunning down four government employees in signals that the guerrillas",60
2452,3366,The Greek sprinters Kostantinos Kenteris and Ekaterini Thanou facing sanctions after missing drugs tests quit the Games,60
2019,50368,"As the number of Web services specifications proliferates, some developers advocate a return to a simpler approach.",100
3825,15593,Crowds of well,20
2786,41936,HOUSTON - St. Louis Cardinals second baseman Tony Womack left Monday night,40
3287,78908,An ailing Yasser Arafat entered a fourth day of emergency treatment Monday at a French military hospital specializing in,60
4453,7442,AFP - African Union-sponsored talks on the conflict in the western Sudanese region of Darfur began,80
3186,45506,"InfoWorld - Fresh from introducing a major upgrade to the Java platform, Sun",40
4041,28174,A group of satellites captures evidence of what scientists believe is the,40
4806,65262,A former general with a doctorate in economics is to be sworn-in as,40
2515,41871,BAGHDAD (Reuters) - An Iranian diplomat taken,20
4391,55873,"It's a relatively recent story, and a familiar one. The Red Sox had two big sluggers in the middle of their lineup -- one",40
4101,57382,Former women 39;s world No. 1 and Olympic tennis champion Justine Henin-Hardenne,40
4904,109310,"International Olympic Committee (IOC) president Jacques Rogge announced December 7, 2004 he had set up a disciplinary commission to investigate allegations made against US sprinter Marion Jones by BALCO chief Victor Conte.",100
1832,113186,"MOSCOW - Nikolai Zherdev and Alexander Perezhogin scored 18 seconds apart Saturday, leading the Russian Stars past",60
2396,16235,"Rich Harden pitched seven solid innings, helping the Oakland A's extend",40
662,63650,"Odyssey Healthcare Inc., a hospice care provider, said Monday its chief executive resigned as the company warned third-quarter earnings will be below",60
2076,27303,NEW YORK (Reuters) - Kroger Co. on Tuesday posted a 25 percent drop in quarterly profit,40
3138,46078,Chelsea goalkeeper Petr Cech has revealed the secret of Jose Mourinho 39;s training ground success so far this season - making the,80
257,115440,"Toshiba Corporation announced the first hard disk drives (HDD) based on perpendicular recording, boosting the",60
2254,57083,The European Union on Monday ended 11 years of sanctions against Libya and eased an arms embargo to reward the North African country for giving up plans to develop weapons of mass destruction.,100
411,47837,NEGOTIATIONS for the release of Iraq hostage Kenneth Bigley are,40
3368,71264,Northern Ireland drug company Warner Chilcott says it has received a takeover approach at a price of 837p per share. This would value,80
371,49578,"NEW YORK - A drop in oil prices and reassuring words from the Federal Reserve sent stocks higher Monday, raising hopes",40
4298,47194,"New Zealand Reserve Bank Governor Alan Bollard doesn 39;t favor a single regulator to supervise banks in Australia and New Zealand, saying that may lead to",80
4223,110643,MCI announced on Wednesday a line of managed LAN services available at,80
3460,26298,NEW YORK (Reuters) - World,20
3811,14743,"For Americans, it 39;s just as well that the",40
4349,94127," NEW YORK (Reuters) - Cocoa prices sank on Wednesday as  exporters in top-grower Ivory Coast kept up with the arrival of  the new crop, which was halted several times this month by an  outbreak of civil violence and a farmers strike.",100
232,11245,US elite triathlete Susan Williams became a media darling on Wednesday when she overcame high temperatures and a crash on the bike to win the,60
793,104224,"Universal said HD DVD can deliver enhanced picture and sound quality, greater storage capacity and increased interactivity. An additional benefit",80
2843,83339,"AP - No Diana Taurasi, no Alana Beard. Nicole Ohlde is gone and so is Nicole Powell. Lindsay Whalen and Kelly Mazzante? They've moved on, too. A class that might have been the best in women's basketball is no",80
1115,116789,The overall Linux market is far larger,20
4283,98961,AP - Troubled German retailer KarstadtQuelle AG said Monday it is selling its 82 percent stake in a three-year-old joint venture with coffeehouse chain,80
3581,112000,DALLAS -- Two games in two days in a pair of sold-out,40
3218,84739,"How Manchester United wish they could play in the Champions League week in and week out. After plundering fours goals against Sparta Prague in midweek, they came",80
332,33823,"Brazilian president Luiz Incio Lula da Silva declared that it is not going to be easy to convince all the participants at the UN meeting,",60
973,1783,BRUSSELS One of 15 cardinals with Pope John Paul II during a weekend visit to a French shrine was quoted in Belgian news media on Monday as saying the,80
410,47837,NEGOTIATIONS for the release of,20
2339,116515, MILAN (Reuters) - The heads of Fiat SpA and General Motors  Corp. will meet face to face in a last-ditch attempt to avoid  litigation over whether the Italian group still has the right  to sell its loss-mired carmaking arm to GM.,100
8,65673,JOSE MOURINHO stormed out of a Stamford Bridge press conference yesterday after he was quizzed about,80
2730,118970,"AP - U.N. Secretary-General Kofi Annan, fending off Republican",20
3828,15593,"Crowds of well wishers greet the Chinese Olympic team, returning home with a",80
1077,7949,Canadian Press - VANCOUVER (CP) - The former roommate of a star Crown witness became the latest in a number of,60
4261,59213,"com October 13, 2004, 5:30 AM PT. This fourth",40
2671,76518,Plus: San Francisco mayor vows to,40
2979,37991,"It looks like the US billionaires club isn 39;t quite as exclusive as it once was. The country now has 313 billionaires, the largest number ever and a huge jump over the 262 counted last year, according to Forbes magazine.",100
121,86962,"The European Commission is to start monitoring China, Ukraine",40
4646,38373,"US Olympic cyclist Tyler Hamilton owes someone in an Athens, Greece, laboratory a",40
554,28832,"In most of western Europe, easily more than half the adults are overweight, and in the United States two-thirds are fat. Why, then, are some able to stay thin in such an environment? The answer is complex and not the same for everyone.",100
823,110644,"Stocks rallied today, with all averages finishing up as the US dollar performed better against overseas currencies for",80
96,106575,No sooner than weve all got used to the idea of 3G services in,40
3940,73122,NEW YORK (Reuters) - Investment manager,20
4072,17586,"For however many millennia mankind has peered at the heavens, no one had ever identified a planet outside the",60
3594,90280,"Iraqi national security adviser Kasim Dawood said Saturday up to 1,000 insurgents have been killed in the six-day battle for Fallujah, CNN reported.",100
4631,12615,AP - Rafael Palmeiro didn't return to Texas a bitter man. There are too,40
657,73973,"Apparently anyone who thought there was a major scandal at insurance brokerage Marsh amp; McLennan is mistaken. That,",60
3840,103452,Lee Carsley 39;s curling free-kick earned high-flying,20
176,110782,What will $300 buy in a digital camera this year? A,40
2612,63073,"Hammered by iPod, Sony will retool, adding native MP3 support to some digital music players by next summer. Cnet",60
2427,31818,SEOUL (Reuters) - North Korea will never dismantle its nuclear arsenal and will not resume talks on its atomic programs unless the,60
2229,77913,"He called on candidates and election staffs to cool down. The one who carries out the election struggle with dignity and finds the shortest way to the minds and hearts of voters will become the president of Ukraine, Kuchma said.",100
266,107563,NEW YORK (Reuters) - The Curse of the Bambino may have ended this year but Babe Ruth proved,40
3122,111168,The UK 39;s global trade deficit in goods widened to a nine-month high in October as imports rose,60
3941,73122,NEW YORK (Reuters) - Investment manager T. Rowe Price Group Inc. ;A,40
839,56505,"According to the polls, the presidential election is now a toss-up. However, there is one historical  quot;iron law quot; that hangs heavy over President George W. Bush 39;s re-election.",100
507,96432,The source of intelligence used this week by US Secretary of State Colin Powell to suggest Iran is working,60
950,79787,IT spending in Western Europe,20
4759,94487,US and Iraqi forces recaptured police stations in the northern Iraqi town of Mosul yesterday as violence sweeping across the Sunni tribal areas claimed 20 more Iraqi lives.,100
4150,79776,Brazilian midfielder Edu will miss Arsenal 39;s,20
